Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,Delta,Gamma,Theta,Vega,Open.Int
.XOM221216C105,XOM 100 16 DEC 22 105 CALL,3.45,-.47,-11.99%,645,3.40,3.50,4.10,3.15,.36,.02,-.04,.15,"26,637"
.PINS221118P22.5,PINS 100 18 NOV 22 22.5 PUT,2.54,+.64,+33.68%,401,2.47,2.52,2.55,2.12,-.41,.06,-.04,.03,"26,241"
.NKLA221118C4,NKLA 100 18 NOV 22 4 CALL,.18,-.03,-14.29%,221,.18,.22,.24,.17,.31,.29,-.01,.00,"26,109"
.AMZN221118P110,AMZN 100 18 NOV 22 110 PUT,6.60,+.55,+9.09%,"12,549",6.50,6.60,7.33,5.40,-.41,.02,-.10,.14,"25,737"
.PBR221118C15,PBR 100 18 NOV 22 15 CALL,.74,-.17,-18.68%,218,.75,.80,.85,.74,.41,.13,-.02,.02,"25,659"
.ORCC221216P10,ORCC 100 16 DEC 22 10 PUT,.50,+.04,+8.70%,61,.45,.55,.50,.45,-.38,.22,-.01,.02,"25,552"
.AAL221118C14,AAL 100 18 NOV 22 14 CALL,.51,+.08,+18.60%,653,.51,.52,.66,.39,.32,.13,-.01,.01,"24,686"
.AAPL221118C150,AAPL 100 18 NOV 22 150 CALL,3.10,-.59,-15.99%,"3,339",3.05,3.15,3.80,2.96,.30,.02,-.08,.16,"24,496"
.PBR221104P13.5,PBR 100 (Weeklys) 4 NOV 22 13.5 PUT,.78,+.03,+4.00%,360,.52,1.31,.83,.71,-.39,.13,-.02,.01,"23,693"
.PINS221118C27.5,PINS 100 18 NOV 22 27.5 CALL,1.30,-.53,-28.96%,"4,014",1.25,1.32,1.67,1.20,.33,.05,-.03,.03,"23,341"
.AAL221118P12,AAL 100 18 NOV 22 12 PUT,1.02,-.06,-5.56%,"1,198",1.01,1.03,1.21,.86,-.41,.13,-.01,.02,"23,044"
.CS221118C5,CS 100 18 NOV 22 5 CALL,.22,-.13,-37.14%,49,.20,.25,.35,.22,.33,.30,-.01,.00,"22,621"
.COF221028P90,COF 100 (Weeklys) 28 OCT 22 90 PUT,3.00,-.26,-7.98%,288,2.90,3.10,3.10,2.50,-.35,.03,-.13,.07,"22,615"
.AAPL221216C145,AAPL 100 16 DEC 22 145 CALL,6.65,-.84,-11.21%,"2,005",6.60,6.75,7.70,6.50,.44,.02,-.07,.23,"22,611"
.CANO221118P8,CANO 100 18 NOV 22 8 PUT,1.05,+.03,+2.94%,842,1.00,1.15,1.12,1.00,-.35,.10,-.02,.01,"22,560"
.AAPL221021C140,AAPL 100 21 OCT 22 140 CALL,3.35,-.95,-22.09%,"14,518",3.30,3.40,4.60,3.15,.48,.04,-.20,.09,"22,511"
.AAPL221021P137,AAPL 100 21 OCT 22 137 PUT,2.97,+.36,+13.79%,"3,423",2.92,2.98,3.40,2.20,-.40,.04,-.20,.09,"22,473"
.CS221118P4,CS 100 18 NOV 22 4 PUT,.45,+.06,+15.38%,997,.40,.45,.45,.30,-.36,.27,-.01,.01,"21,878"
.GOOGL221118C105,GOOGL 100 18 NOV 22 105 CALL,2.55,-.21,-7.61%,649,2.52,2.54,3.15,2.35,.32,.03,-.06,.11,"21,858"
.CHPT221014P13.5,CHPT 100 (Weeklys) 14 OCT 22 13.5 PUT,.41,-.06,-12.77%,"21,795",.40,.43,.88,.36,-.42,.30,-.10,.00,"21,192"
.MSFT221118P225,MSFT 100 18 NOV 22 225 PUT,11.60,+1.75,+17.77%,"1,102",11.55,11.75,12.27,9.95,-.46,.01,-.15,.29,"21,162"
.CIM221118C6,CIM 100 18 NOV 22 6 CALL,.30,+.14,+87.50%,156,.25,.35,.37,.15,.37,.28,-.01,.01,"21,136"
.CCL221118P6,CCL 100 18 NOV 22 6 PUT,.52,-.10,-16.13%,"22,137",.50,.52,.70,.48,-.32,.17,-.01,.01,"21,070"
.RIG221118C3.5,RIG 100 18 NOV 22 3.5 CALL,.17,-.05,-22.73%,537,.15,.21,.20,.16,.35,.40,.00,.00,"20,631"
.AAPL221118C145,AAPL 100 18 NOV 22 145 CALL,4.85,-.65,-11.82%,"1,386",4.80,4.90,5.85,4.70,.41,.02,-.10,.17,"20,561"
.RITM221021C7.5,RITM 100 21 OCT 22 7.5 CALL,.30,+.15,+100.00%,469,.25,.35,.35,.15,.48,.47,-.02,.00,"20,478"
.PBR221104P13,PBR 100 (Weeklys) 4 NOV 22 13 PUT,.58,+.03,+5.45%,20,.45,.65,.58,.56,-.31,.14,-.02,.01,"20,366"
.AAL221014C12.5,AAL 100 (Weeklys) 14 OCT 22 12.5 CALL,.31,+.07,+29.17%,"14,820",.30,.31,.64,.16,.42,.38,-.08,.00,"20,242"
.VZ221118P35,VZ 100 18 NOV 22 35 PUT,1.10,+.25,+29.41%,160,1.08,1.12,1.10,.86,-.39,.10,-.02,.04,"20,215"
.JD221216C50,JD 100 16 DEC 22 50 CALL,3.35,-.55,-14.10%,52,3.25,3.35,3.65,3.10,.44,.03,-.04,.08,"20,100"
.PCG221216C16,PCG 100 16 DEC 22 16 CALL,.42,-.02,-4.55%,10,.44,.50,.46,.42,.31,.13,-.01,.02,"19,597"
.MOMO221021P4.38,MOMO 100 21 OCT 22 4.38 PUT,.11,+.03,+37.50%,1,.10,.20,.11,.11,-.36,.66,-.01,.00,"19,538"
.DIBS221216C7.5,DIBS 100 16 DEC 22 7.5 CALL,.65,0,0.00%,2,.50,.85,.65,.65,.43,.15,-.01,.01,"19,327"
.ARCC221021P17,ARCC 100 21 OCT 22 17 PUT,.30,0,0.00%,63,.20,.40,.45,.30,-.38,.35,-.02,.01,"19,324"
.ATUS221021P5,ATUS 100 21 OCT 22 5 PUT,.26,+.07,+36.84%,221,.20,.25,.30,.20,-.37,.46,-.02,.00,"18,838"
.XOM221021P95,XOM 100 21 OCT 22 95 PUT,1.54,+.20,+14.93%,"2,672",1.52,1.57,2.00,1.00,-.32,.05,-.13,.06,"18,709"
.XOM221021C100,XOM 100 21 OCT 22 100 CALL,1.85,-.49,-20.94%,842,1.81,1.89,2.53,1.24,.40,.06,-.13,.06,"18,549"
.PBR221021P13.5,PBR 100 21 OCT 22 13.5 PUT,.25,+.07,+38.89%,"1,832",.20,.25,.27,.15,-.31,.32,-.02,.01,"18,392"
.DKNG221118P12.5,DKNG 100 18 NOV 22 12.5 PUT,1.28,+.20,+18.52%,"1,899",1.23,1.28,1.61,1.07,-.33,.08,-.02,.02,"18,349"
.F221021C12,F 100 21 OCT 22 12 CALL,.26,+.04,+18.18%,"5,330",.26,.27,.40,.16,.37,.34,-.02,.01,"18,315"
.CANO221021C9,CANO 100 21 OCT 22 9 CALL,.55,-.22,-28.57%,"2,410",.55,.65,.70,.48,.46,.21,-.04,.01,"18,312"
.ET221118C12,ET 100 18 NOV 22 12 CALL,.37,+.02,+5.71%,"1,690",.38,.41,.44,.25,.39,.25,-.01,.01,"18,285"
.ITUB221216C6,ITUB 100 16 DEC 22 6 CALL,.21,-.02,-8.70%,109,.17,.23,.22,.21,.34,.37,.00,.01,"18,184"
.VALE221118C15,VALE 100 18 NOV 22 15 CALL,.50,-.12,-19.35%,51,.47,.51,.60,.35,.34,.15,-.01,.02,"18,176"
.F221216C12,F 100 16 DEC 22 12 CALL,.84,+.09,+12.00%,"1,285",.86,.89,1.02,.70,.47,.15,-.01,.02,"18,007"
.WDC221021P34,WDC 100 21 OCT 22 34 PUT,1.08,-.10,-8.47%,"21,909",1.04,1.15,1.52,.65,-.39,.10,-.07,.02,"17,750"
.CS221021P4,CS 100 21 OCT 22 4 PUT,.20,+.02,+11.11%,"2,583",.15,.20,.20,.10,-.33,.50,-.01,.00,"17,733"
.WEN221118C20,WEN 100 18 NOV 22 20 CALL,.66,-.02,-2.94%,164,.65,.70,.70,.51,.42,.16,-.01,.02,"17,629"
.SOFI221021P5,SOFI 100 21 OCT 22 5 PUT,.27,-.01,-3.57%,"1,318",.27,.28,.39,.19,-.48,.59,-.01,.00,"17,556"
.UBER221118P22.5,UBER 100 18 NOV 22 22.5 PUT,1.55,+.76,+96.20%,"3,292",1.47,1.51,2.14,1.11,-.31,.06,-.03,.03,"17,450"
.AMZN221118C120,AMZN 100 18 NOV 22 120 CALL,4.42,-.68,-13.33%,"1,836",4.40,4.55,5.70,3.86,.38,.02,-.10,.14,"17,246"
.MU221216P52.5,MU 100 16 DEC 22 52.5 PUT,3.97,-.88,-18.14%,"1,363",3.90,4.00,5.10,3.55,-.40,.03,-.03,.09,"17,188"
.F221216P11,F 100 16 DEC 22 11 PUT,.88,-.06,-6.38%,"4,663",.88,.89,.99,.77,-.38,.13,-.01,.02,"17,150"
.SNAP221021C11,SNAP 100 21 OCT 22 11 CALL,.71,-.06,-7.79%,"1,462",.71,.74,.86,.53,.44,.16,-.05,.01,"17,090"
.SQ221118P55,SQ 100 18 NOV 22 55 PUT,6.55,+1.15,+21.30%,698,6.65,6.75,7.13,5.45,-.48,.03,-.08,.07,"17,066"
.GOOG221021C100,GOOG 100 21 OCT 22 100 CALL,2.02,-.40,-16.53%,"1,756",2.00,2.07,2.96,1.80,.41,.05,-.15,.06,"16,930"
.AAPL221216P130,AAPL 100 16 DEC 22 130 PUT,5.60,+.35,+6.67%,"1,249",5.55,5.65,5.90,4.90,-.31,.01,-.06,.21,"16,926"
.COMM221118C12,COMM 100 18 NOV 22 12 CALL,.70,-.07,-9.09%,32,.65,.75,.82,.68,.40,.13,-.01,.01,"16,854"
.MPW221021P11,MPW 100 21 OCT 22 11 PUT,.50,-.30,-37.50%,861,.45,.55,.90,.44,-.49,.33,-.03,.01,"16,654"
.TGT221216P150,TGT 100 16 DEC 22 150 PUT,9.60,-.05,-0.52%,83,9.55,9.75,9.75,8.65,-.40,.01,-.09,.25,"16,625"
.AAPL221216C150,AAPL 100 16 DEC 22 150 CALL,4.66,-.71,-13.22%,"1,295",4.65,4.75,5.50,4.55,.35,.02,-.06,.22,"16,314"
.C221021P40,C 100 21 OCT 22 40 PUT,1.35,+.45,+50.00%,763,1.33,1.36,1.35,.98,-.43,.10,-.08,.03,"16,314"
.ARDX221118C2.5,ARDX 100 18 NOV 22 2.5 CALL,.25,0,0.00%,74,.25,.30,.33,.25,.44,.30,-.01,.00,"16,281"
.TWTR221216P50,TWTR 100 16 DEC 22 50 PUT,3.25,+.32,+10.92%,368,3.20,3.30,3.25,2.80,-.46,.05,-.02,.08,"16,213"
.SOFI221118C6,SOFI 100 18 NOV 22 6 CALL,.25,0,0.00%,"2,376",.25,.26,.30,.20,.32,.25,-.01,.01,"16,186"
.C221118P40,C 100 18 NOV 22 40 PUT,2.37,+.52,+28.11%,"1,516",2.35,2.39,2.38,1.92,-.44,.06,-.03,.05,"16,177"
.CCL221021P6.5,CCL 100 21 OCT 22 6.5 PUT,.36,-.11,-23.40%,"1,300",.34,.35,.61,.29,-.42,.38,-.02,.00,"16,077"
.MSFT221021P220,MSFT 100 21 OCT 22 220 PUT,3.95,+.95,+31.67%,"2,436",3.40,4.00,4.50,2.75,-.34,.02,-.29,.14,"16,068"
.SNAP221021P9.5,SNAP 100 21 OCT 22 9.5 PUT,.67,+.09,+15.52%,"1,069",.63,.65,.77,.54,-.33,.14,-.05,.01,"16,012"
.AMZN221021P110,AMZN 100 21 OCT 22 110 PUT,2.88,+.49,+20.50%,"12,701",2.81,2.89,3.69,1.85,-.39,.04,-.19,.07,"15,889"
.AAPL221216P140,AAPL 100 16 DEC 22 140 PUT,9.50,+.65,+7.34%,"2,136",9.40,9.55,9.85,8.40,-.47,.02,-.07,.24,"15,881"
.CANO221216C10,CANO 100 16 DEC 22 10 CALL,.85,-.19,-18.27%,20,.80,.95,1.00,.80,.43,.12,-.01,.01,"15,806"
.GOOGL221021C100,GOOGL 100 21 OCT 22 100 CALL,1.69,-.28,-14.21%,"1,961",1.67,1.70,2.54,1.42,.36,.05,-.14,.06,"15,743"
.FSK221118P17.5,FSK 100 18 NOV 22 17.5 PUT,.91,+.16,+21.33%,179,.75,.95,.91,.75,-.50,.20,-.01,.02,"15,725"
.VZ221118C38,VZ 100 18 NOV 22 38 CALL,.73,-.23,-23.96%,536,.70,.73,.92,.71,.31,.09,-.02,.04,"15,701"
.NEM221118P40,NEM 100 18 NOV 22 40 PUT,1.78,+.20,+12.66%,249,1.77,1.80,1.80,1.46,-.36,.06,-.03,.05,"15,696"
.CS221118C4.5,CS 100 18 NOV 22 4.5 CALL,.38,-.12,-24.00%,435,.35,.40,.57,.38,.47,.33,-.01,.01,"15,675"
.BHC221021C7,BHC 100 21 OCT 22 7 CALL,.24,-.10,-29.41%,695,.21,.28,.35,.21,.38,.38,-.02,.00,"15,606"
.AVTR221021C20,AVTR 100 21 OCT 22 20 CALL,.50,+.05,+11.11%,7,.45,.55,.50,.43,.48,.29,-.03,.01,"15,592"
.GME221021P25,GME 100 21 OCT 22 25 PUT,1.46,-.27,-15.61%,637,1.40,1.53,2.17,1.16,-.44,.10,-.08,.02,"15,493"
.TSLA221014P210,TSLA 100 (Weeklys) 14 OCT 22 210 PUT,3.60,+.93,+34.83%,"45,667",3.55,3.70,4.35,1.73,-.34,.02,-1.06,.07,"15,478"
.GIS221021C77.5,GIS 100 21 OCT 22 77.5 CALL,1.33,+.38,+40.00%,871,1.30,1.40,1.64,.85,.50,.11,-.07,.05,"15,421"
.XOM221118C100,XOM 100 18 NOV 22 100 CALL,4.14,-.41,-9.01%,553,4.00,4.15,4.90,3.55,.46,.03,-.06,.13,"15,384"
.TWTR221021P50,TWTR 100 21 OCT 22 50 PUT,1.43,+.09,+6.72%,955,1.30,1.44,1.56,1.08,-.49,.12,-.07,.03,"15,373"
.NCLH221014P11.5,NCLH 100 (Weeklys) 14 OCT 22 11.5 PUT,.41,+.07,+20.59%,"4,871",.40,.42,.66,.29,-.44,.33,-.09,.00,"15,351"
.RLMD221021C40,RLMD 100 21 OCT 22 40 CALL,6.44,+.04,+0.63%,"3,096",4.10,7.00,6.85,5.40,.49,.02,-.43,.02,"15,346"
.UPST221118P25,UPST 100 18 NOV 22 25 PUT,5.65,-.50,-8.13%,431,5.25,5.40,6.55,5.05,-.46,.04,-.06,.03,"15,228"
.R221118C85,R 100 18 NOV 22 85 CALL,2.60,-1.00,-27.78%,133,2.10,2.65,3.00,2.50,.34,.03,-.05,.09,"15,113"
.PLTR221118P8,PLTR 100 18 NOV 22 8 PUT,.78,+.02,+2.63%,"1,567",.77,.78,.90,.69,-.44,.19,-.01,.01,"15,098"
.MLCO221118C8,MLCO 100 18 NOV 22 8 CALL,.54,-.23,-29.87%,52,.50,.70,.60,.54,.43,.18,-.01,.01,"15,067"
.CHPT221021C14.5,CHPT 100 21 OCT 22 14.5 CALL,.52,-.08,-13.33%,"2,136",.49,.52,.57,.31,.38,.19,-.04,.01,"15,040"
.FCX221021P29,FCX 100 21 OCT 22 29 PUT,1.39,+.07,+5.30%,466,1.32,1.36,1.76,1.05,-.45,.11,-.07,.02,"14,874"
.TSLA221216P200,TSLA 100 16 DEC 22 200 PUT,16.87,+2.07,+13.99%,"1,446",16.75,16.90,17.33,14.15,-.34,.01,-.17,.33,"14,726"
.INTC221014P25,INTC 100 (Weeklys) 14 OCT 22 25 PUT,.55,-.01,-1.79%,"4,957",.55,.56,.75,.38,-.46,.26,-.12,.01,"14,672"
.AAPL221028P140,AAPL 100 (Weeklys) 28 OCT 22 140 PUT,6.00,+.55,+10.09%,"3,717",5.95,6.05,6.40,4.95,-.50,.03,-.17,.12,"14,668"
.MU221216P50,MU 100 16 DEC 22 50 PUT,2.99,-.60,-16.71%,"1,050",2.95,3.05,4.06,2.75,-.32,.03,-.03,.08,"14,619"
.TWTR221118C52.5,TWTR 100 18 NOV 22 52.5 CALL,1.17,-.24,-17.02%,670,1.17,1.30,1.39,1.05,.35,.07,-.03,.06,"14,523"
.NKLA221118P12,NKLA 100 18 NOV 22 12 PUT,8.90,0,0.00%,<empty>,8.95,9.15,0,0,-.37,.00,-.02,.00,"14,502"
.ISEE221216C25,ISEE 100 16 DEC 22 25 CALL,1.45,-.20,-12.12%,"8,000",1.40,1.80,1.75,1.45,.37,.05,-.02,.03,"14,475"
.MPW221118P10,MPW 100 18 NOV 22 10 PUT,.70,-.14,-16.67%,"2,475",.70,.75,.90,.65,-.32,.12,-.01,.01,"14,425"
.BP221021P29,BP 100 21 OCT 22 29 PUT,.51,+.14,+37.84%,17,.50,.54,.54,.35,-.34,.17,-.04,.02,"14,304"
.COF221021P90,COF 100 21 OCT 22 90 PUT,1.74,-.29,-14.29%,81,1.75,1.95,2.20,1.38,-.31,.04,-.16,.05,"14,241"
.SU221216C35,SU 100 16 DEC 22 35 CALL,1.35,-.08,-5.59%,"5,001",1.25,1.35,1.35,1.35,.33,.05,-.02,.05,"14,076"
.SU221216C33,SU 100 16 DEC 22 33 CALL,2.15,0,0.00%,<empty>,1.90,2.00,0,0,.44,.06,-.02,.05,"14,025"
.WFC221118P40,WFC 100 18 NOV 22 40 PUT,2.36,+.60,+34.09%,275,2.32,2.36,2.41,1.95,-.45,.06,-.03,.05,"13,989"
.JPM221118P100,JPM 100 18 NOV 22 100 PUT,4.43,+1.16,+35.47%,970,4.40,4.55,4.45,3.57,-.42,.03,-.07,.13,"13,983"
.SNAP221118P10,SNAP 100 18 NOV 22 10 PUT,1.24,+.11,+9.73%,96,1.19,1.21,1.36,1.10,-.40,.11,-.02,.01,"13,969"
.AMZN221216C120,AMZN 100 16 DEC 22 120 CALL,6.09,-.71,-10.44%,"1,338",6.10,6.20,7.45,5.50,.42,.02,-.07,.19,"13,838"
.CCL221014P6.5,CCL 100 (Weeklys) 14 OCT 22 6.5 PUT,.19,-.14,-42.42%,"4,331",.18,.19,.51,.16,-.40,.63,-.05,.00,"13,611"
.AMZN221216P110,AMZN 100 16 DEC 22 110 PUT,8.10,+.70,+9.46%,720,7.95,8.05,8.75,6.85,-.41,.02,-.07,.19,"13,609"
.PBR221118C14,PBR 100 18 NOV 22 14 CALL,1.08,-.29,-21.17%,882,.83,1.23,1.27,1.08,.54,.16,-.01,.02,"13,585"
.BABA221118C85,BABA 100 18 NOV 22 85 CALL,2.85,-1.40,-32.94%,"3,211",2.76,2.85,3.37,2.49,.32,.02,-.07,.09,"13,540"
.XOM221118C105,XOM 100 18 NOV 22 105 CALL,2.20,-.40,-15.38%,"1,928",2.17,2.28,2.71,2.02,.31,.03,-.06,.11,"13,523"
.NOVA221021P20,NOVA 100 21 OCT 22 20 PUT,.90,-.13,-12.62%,120,.75,.95,1.20,.85,-.38,.13,-.06,.01,"13,483"
.DIS221118C95,DIS 100 18 NOV 22 95 CALL,4.87,-1.22,-20.03%,593,4.75,4.90,5.80,4.65,.49,.03,-.08,.12,"13,451"
.OSH221216C25,OSH 100 16 DEC 22 25 CALL,2.35,0,0.00%,<empty>,1.90,2.10,0,0,.43,.05,-.02,.04,"13,444"
.CPNG221118C20,CPNG 100 18 NOV 22 20 CALL,1.10,-.42,-27.63%,59,1.12,1.18,1.26,1.00,.42,.09,-.02,.02,"13,439"
.PLTR221021P8,PLTR 100 21 OCT 22 8 PUT,.35,0,0.00%,832,.34,.36,.51,.25,-.46,.42,-.02,.01,"13,371"
.AAPL221028P139,AAPL 100 (Weeklys) 28 OCT 22 139 PUT,5.55,+.47,+9.25%,"3,304",5.50,5.60,5.92,4.46,-.47,.03,-.17,.12,"13,303"
.SNY221216C43,SNY 100 16 DEC 22 43 CALL,1.35,+.34,+33.66%,36,1.00,1.50,1.35,1.00,.33,.06,-.02,.06,"13,272"
.BHVN1221216C150,BHVN 50/100 (US$ 14850) 16 DEC 22 150 CALL,5.00,0,0.00%,<empty>,2.00,6.50,0,0,.50,.00,.00,.00,"13,184"
.UBER221118P25,UBER 100 18 NOV 22 25 PUT,2.56,+1.10,+75.34%,"7,295",2.55,2.60,3.55,1.89,-.47,.07,-.03,.03,"13,179"
.GM221118C35,GM 100 18 NOV 22 35 CALL,1.39,+.01,+0.72%,"2,738",1.22,1.27,1.50,1.00,.35,.06,-.03,.04,"13,135"
.RC221118P10,RC 100 18 NOV 22 10 PUT,.48,-.22,-31.43%,140,.50,.55,.70,.45,-.35,.18,-.01,.01,"13,098"
.MLCO221021C8,MLCO 100 21 OCT 22 8 CALL,.23,-.12,-34.29%,220,.20,.30,.33,.18,.32,.27,-.02,.00,"13,091"
.OXY221021C65,OXY 100 21 OCT 22 65 CALL,2.00,-.99,-33.11%,"1,448",1.98,2.04,2.65,1.52,.46,.07,-.13,.04,"13,085"
.F221118P11,F 100 18 NOV 22 11 PUT,.69,-.05,-6.76%,"3,336",.67,.69,.81,.56,-.37,.16,-.01,.01,"13,059"
.AMZN221021C115,AMZN 100 21 OCT 22 115 CALL,2.62,-.73,-21.79%,"5,580",2.61,2.69,4.15,2.05,.41,.04,-.20,.07,"13,056"
.ON221118P60,ON 100 18 NOV 22 60 PUT,5.60,+.97,+20.95%,"1,683",5.50,5.70,6.14,5.00,-.47,.03,-.07,.08,"13,026"
.SAVE221118P17.5,SAVE 100 18 NOV 22 17.5 PUT,.98,0,0.00%,<empty>,.82,1.13,0,0,-.37,.11,-.02,.02,"13,016"
.SNAP221021C11.5,SNAP 100 21 OCT 22 11.5 CALL,.51,-.10,-16.39%,"3,566",.55,.58,.69,.40,.37,.15,-.05,.01,"13,012"
.BTU221216C30,BTU 100 16 DEC 22 30 CALL,2.60,-.28,-9.72%,339,2.50,2.70,2.80,2.35,.44,.04,-.03,.04,"13,006"
.MKTW221118P2.5,MKTW 100 18 NOV 22 2.5 PUT,.20,0,0.00%,<empty>,.15,.25,0,0,-.41,.66,.00,.00,"12,976"
.RGS221216P1,RGS 100 16 DEC 22 1 PUT,.27,0,0.00%,<empty>,.15,.30,0,0,-.34,.55,.00,.00,"12,922"
.TSLA221118P200,TSLA 100 18 NOV 22 200 PUT,12.60,+1.90,+17.76%,"2,205",12.50,12.60,13.03,10.00,-.33,.01,-.24,.25,"12,878"
.FCX221021C30,FCX 100 21 OCT 22 30 CALL,.94,-.14,-12.96%,"1,139",.95,.98,1.26,.65,.43,.12,-.07,.02,"12,866"
.GSK221021P30,GSK 100 21 OCT 22 30 PUT,.55,-.14,-20.29%,11,.50,.65,.55,.30,-.40,.20,-.04,.02,"12,763"
.VALE221216P13,VALE 100 16 DEC 22 13 PUT,.66,+.02,+3.13%,44,.71,.73,.71,.64,-.35,.14,-.01,.02,"12,744"
.KNBE221021C22.5,KNBE 100 21 OCT 22 22.5 CALL,.70,-.45,-39.13%,"1,311",.60,.70,.80,.60,.39,.15,-.05,.01,"12,724"
.MSFT221118C235,MSFT 100 18 NOV 22 235 CALL,7.65,-1.80,-19.05%,"1,647",7.60,7.75,8.99,7.33,.40,.01,-.15,.28,"12,704"
.AAL221021P12,AAL 100 21 OCT 22 12 PUT,.58,-.07,-10.77%,"1,868",.56,.58,.80,.34,-.41,.22,-.04,.01,"12,702"
